PLAYER,POSITION,OVR,GEN,TOTAL
Lamar Jackson,QB,98,90,2721
Roquan Smith,MLB,95,89,2685
Derrick Henry,HB,94,91,2800
Mark Andrews,TE,94,89,2807
Justin Madubuike,LE,92,84,2300
Marlon Humphrey,CB,91,87,2718
Kyle Hamilton,SS,89,87,3051
Justin Tucker,K,88,68,1605
Ronnie Stanley,LT,88,78,2044
Tyler Linderbaum,C,88,83,2186
Marcus Williams,FS,86,87,2728
Zay Flowers,WR,85,86,2863
Michael Pierce,DT,85,77,2186
Patrick Ricard,FB,81,81,2887
Brandon Stephens,CB,81,86,2780
Kyle Van Noy,LOLB,80,81,2602
Odafe Oweh,ROLB,80,85,2571
Nelson Agholor,WR,78,83,2735
Rashod Bateman,WR,78,84,2593
Justice Hill,HB,77,83,2413
Jordan Stout,P,76,73,1617
Nate Wiggins,CB,75,82,2634
Malik Harrison,LOLB,74,82,2842
Trenton Simpson,MLB,74,86,2874
Deonte Harty,WR,74,79,2480
Arthur Maulet,CB,74,82,2618
Keaton Mitchell,HB,74,82,2553
Travis Jones,DT,73,78,2077
Josh Jones,LT,72,77,1928
Isaiah Likely,TE,72,82,2786
Patrick Mekari,RT,72,77,1874
Brent Urban,LE,71,74,2215
David Ojabo,ROLB,71,81,2177
Adisa Isaac,ROLB,71,80,2253
Roger Rosengarten,RT,71,78,1944
Devontez Walker,WR,70,82,2502
Broderick Washington Jr,RE,70,75,2125
Christian Matthew,CB,70,82,2519
Ben Cleveland,LG,70,77,1814
Tylan Wallace,WR,69,82,2630
TJ Tampa,CB,69,83,2774
Ka’Dar Hollman,CB,69,83,2491
Trayvon Mullen Jr,CB,68,80,2575
Rasheen Ali,HB,68,83,2435
Keith Kirkwood,WR,67,80,2651
Daniel Faalele,RT,67,66,2031
Josh Tupou,DT,67,73,1996
Andrew Vorhees,RG,67,75,1899
Sanoussi Kane,SS,66,81,2742
Deadrin Senat,RE,66,75,2080
Tavius Robinson,LOLB,66,79,2297
Chris Board,MLB,66,82,2467
Damarion Williams,CB,66,81,2541
Charlie Kolar,TE,66,80,2555
Jalyn Armour-Davis,CB,66,80,2333
Ar’Darius Washington,FS,65,80,2529
Malaesala Aumavae-Laulu,RT,65,76,1948
Beau Brade,FS,63,80,2748
Julian Pearl,LT,62,76,2137
Nick Samac,C,62,75,2069
Malik Hamm,LOLB,62,77,2516
Malik Cunningham,WR,61,81,2703
Tre Swilling,CB,61,81,2366
Josh Johnson,QB,59,74,2376
Devin Leary,QB,58,73,2019
Rayshad Nichols,DT,58,70,1885
Josh Ross,MLB,57,77,2383
Nick Moore,TE,37,76,2366
